Family,Child
[F0001],[I0003]
[F0001],[I0004]
[F0001],[I0005]
[F0002],[I0001]
[F0002],[I0008]
[F0003],[I0010]
[F0003],[I0011]
[F0005],[I0013]
[F0005],[I0014]
[F0005],[I0015]
[F0006],[I0017]
[F0006],[I0018]
[F0006],[I0019]
[F0007],[I0021]
[F0007],[I0022]
[F0007],[I0023]
[F0008],[I0134]
[F0008],[I0026]
[F0009],[I0192]
[F0009],[I0035]
[F0009],[I0032]
[F0009],[I0195]
[F0009],[I0051]
[F0009],[I0196]
[F0009],[I0029]
[F0009],[I0053]
[F0009],[I0054]
[F0009],[I0050]
[F0009],[I0197]
[F0009],[I0052]
[F0009],[I0199]
[F0009],[I0025]
[F0011],[I0123]
[F0011],[I0040]
[F0011],[I0146]
[F0011],[I0348]
[F0013],[I0043]
[F0013],[I0042]
[F0014],[I0045]
[F0014],[I0046]
[F0014],[I0047]
[F0015],[I0220]
[F0015],[I0221]
[F0015],[I0024]
[F0017],[I0083]
[F0017],[I0084]
[F0017],[I0085]
[F0017],[I0086]
[F0019],[I0030]
[F0020],[I0055]
[F0020],[I0056]
[F0020],[I0057]
[F0021],[I0059]
[F0022],[I0064]
[F0022],[I0062]
[F0022],[I0063]
[F0023],[I0066]
[F0024],[I0068]
[F0025],[I0070]
[F0025],[I0071]
[F0027],[I0076]
[F0027],[I0074]
[F0027],[I0075]
[F0028],[I0078]
[F0029],[I0080]
[F0029],[I0081]
[F0030],[I0089]
[F0030],[I0088]
[F0033],[I0093]
[F0034],[I0095]
[F0034],[I0096]
[F0035],[I0098]
[F0036],[I0100]
[F0037],[I0103]
[F0037],[I0102]
[F0039],[I0106]
[F0040],[I0444]
[F0042],[I0114]
[F0042],[I0113]
[F0042],[I0115]
[F0043],[I0033]
[F0043],[I0501]
[F0044],[I0542]
[F0044],[I0110]
[F0044],[I0109]
[F0044],[I0541]
[F0047],[I0118]
[F0047],[I0119]
[F0048],[I0121]
[F0048],[I0200]
[F0051],[I0038]
[F0051],[I0126]
[F0051],[I0127]
[F0051],[I0128]
[F0051],[I0129]
[F0052],[I0130]
[F0052],[I0131]
[F0052],[I0132]
[F0052],[I0133]
[F0054],[I0138]
[F0054],[I0139]
[F0055],[I0141]
[F0055],[I0142]
[F0056],[I0210]
[F0056],[I0208]
[F0056],[I0209]
[F0072],[I0204]
[F0072],[I0205]
[F0072],[I0349]
[F0074],[I0467]
[F0074],[I0028]
[F0074],[I0464]
[F0074],[I0496]
[F0074],[I0497]
[F0074],[I0216]
[F0074],[I0215]
[F0084],[I0437]
[F0084],[I0438]
[F0085],[I0223]
[F0085],[I0224]
[F0085],[I0225]
[F0086],[I0227]
[F0087],[I0229]
[F0087],[I0230]
[F0088],[I0234]
[F0088],[I0235]
[F0088],[I0236]
[F0089],[I0238]
[F0089],[I0239]
[F0091],[I0067]
[F0093],[I0193]
[F0094],[I0244]
[F0094],[I0510]
[F0095],[I0241]
[F0095],[I0245]
[F0095],[I0037]
[F0095],[I0246]
[F0097],[I0249]
[F0097],[I0250]
[F0097],[I0251]
[F0097],[I0252]
[F0097],[I0253]
[F0097],[I0254]
[F0097],[I0255]
[F0098],[I0257]
[F0098],[I0258]
[F0099],[I0265]
[F0100],[I0027]
[F0101],[I0214]
[F0102],[I0534]
